epoch,auroc,auprc,ap,f1
1,0.5288734500797388,0.6022509783330772,0.5369980434958256,0.4235228253516527
2,0.5316185926119534,0.5940516067733501,0.537381211974578,0.4550520798779274
3,0.5766687313336608,0.6267845241826562,0.5666677461191738,0.5361650114591291
4,0.5972280471301659,0.6435564273409022,0.5794349708406228,0.5827414090996353
5,0.6106515658924309,0.6508719552685609,0.5890163880693617,0.6037567677763765
6,0.6234249013161771,0.6587893624327732,0.5996285553789102,0.6148500052362501
7,0.6496125061005842,0.6768555802177894,0.6183797505565508,0.6515799021853989
8,0.674367396650384,0.6946380341553948,0.6373597202241218,0.6855229696847728
9,0.6886938477298917,0.705146193183583,0.649665623457808,0.7016012175450428
10,0.7029732810145819,0.7155613698408403,0.6606218774166939,0.7153576062203431
11,0.7152457216233082,0.7233372306362854,0.6709144361082131,0.7264682147487918
12,0.7279658186922965,0.732465431745321,0.6816365461016832,0.7409098703150524
13,0.7386473055219965,0.7406811872138004,0.6915241711199577,0.7523154582051949
14,0.7484466303989797,0.7478961406436526,0.701284786089761,0.7591219837331004
15,0.757200042227656,0.7541861779595478,0.7104089284313269,0.7656785933494602
16,0.7654449183461595,0.7594991805137841,0.7192616414439639,0.7699273550510514
17,0.7731521201044815,0.764130495520402,0.7280947846371151,0.7745393756586838
18,0.7805791766461971,0.7695134139055982,0.7365680558515542,0.7781355201482337
19,0.7881936688846576,0.7753231627286428,0.7445866535635854,0.7863289939102214
20,0.7961999584975685,0.7811471233577442,0.752118603387453,0.7952841079528412
21,0.8042603999488901,0.7864812952838454,0.7596833740528588,0.8033810497614179
22,0.8090738408192306,0.7886557773513944,0.7649438378308637,0.8080307931402135
23,0.8129864453897401,0.7911086441170663,0.7695548775117151,0.810411147802736
24,0.8185046141230929,0.7951307512681312,0.7757006880800905,0.8163653490815549
25,0.8232768800974011,0.7984066359223471,0.7817450096879452,0.8184622103338154
27,0.8318170592671608,0.8046145249755698,0.7918120960238958,0.8248852141145481
28,0.8388591169346145,0.8103606131998893,0.7980354383724526,0.8347439157282964
29,0.8439067181505819,0.8144808152439442,0.8037999747592027,0.8375473622850481
30,0.8469695004872801,0.8172123913858792,0.8082458928157819,0.8358249997708461
31,0.8506752006907441,0.8202013255272369,0.8121023468443793,0.840886981662136
32,0.854607333831467,0.823198881762732,0.8155685987238757,0.8456066945606694
33,0.8595249657841151,0.8273138236745969,0.8196958071884325,0.8548161685658998
34,0.8629199217459169,0.8306427316652458,0.8232359154151933,0.856387553527617
35,0.8654746177216845,0.8338509644888827,0.8272847139434647,0.8575519613846763
36,0.8682303659349724,0.8364861129612937,0.8306604463544268,0.8581381706601688
37,0.8720307712164844,0.8394023300210675,0.8338392262383542,0.8631932350670568
38,0.8761939920651041,0.842459159030414,0.836847759450835,0.8697538111327198
39,0.8792954221129414,0.8448736200796773,0.8391447278964157,0.8739261667053634
40,0.8818697830421116,0.847429957392785,0.842005353950092,0.8754653493699885
41,0.8842066944451455,0.8503245529898653,0.8452322830694751,0.875387052639159
42,0.8865323945745975,0.8534008535325434,0.848460656057267,0.8769774532111411
43,0.8890185528628991,0.8563650759777147,0.8513574820712693,0.8806071549890047
44,0.8915546078181217,0.8590733603391261,0.8541041825711604,0.884023361685762
45,0.8938757969127491,0.8612861012747862,0.8563726810075472,0.8865431566853367
46,0.8958577299668898,0.8630705482914564,0.8583631474674711,0.8888590339540174
47,0.8975067186490898,0.8644352635627464,0.8600415672583184,0.8898506312554323
48,0.8989584509659986,0.8655761760937943,0.8615497517949298,0.8908757655684206
49,0.9005450492341891,0.866832652021096,0.8629821917739138,0.8924867325772474
50,0.9023725296251588,0.8683635779044634,0.8645382679776709,0.8956918126564176
51,0.9041087356965674,0.8699716794604117,0.8661833218394674,0.8982030580165762
52,0.9055863285918322,0.871613479647322,0.8679190442398572,0.8993768131513915
53,0.9068262281655206,0.8732033797671526,0.8696185731092143,0.9003111075248572
54,0.9081408204123951,0.8747144482557118,0.871127921551506,0.9031759565171055
55,0.9095799301914097,0.8760300891918384,0.8724867948568573,0.9052425281724644
56,0.9107539591621869,0.8770436148638652,0.8735472099080639,0.9066757067791924
57,0.9117560118883061,0.8780169195731767,0.8747138186544088,0.9072754228962364
58,0.9126738177653646,0.878809186276488,0.8756701874892865,0.9079459787773769
59,0.9138416450372812,0.8798924886764695,0.8767907791619547,0.9097137963029047
60,0.9148724332977881,0.8807941829969156,0.877706858732591,0.9113874473709976
61,0.9157796247025922,0.8817201634004721,0.8786916094540069,0.9119439366240099
62,0.91662524523128,0.8827684213357117,0.8798761330261711,0.9131840242219155
63,0.9175448818318762,0.8837432593233896,0.8809116731713238,0.9138250373565017
64,0.9185095421476205,0.8845167343599682,0.8816972793424251,0.9156428571428572
65,0.9193263723568772,0.88524930957752,0.8825221606176832,0.9166256697406908
66,0.9200568075120124,0.8860158835261487,0.8834136390675204,0.9176073444309496
67,0.92073832014303,0.88679207393266,0.8842891821709812,0.9183753731743506
68,0.9214454551113915,0.8874368316712264,0.8849606724676004,0.9196437310365078
69,0.9221024998470047,0.8879227823483957,0.8854476400982434,0.9200239883280673
70,0.9227931216203255,0.8885883906988785,0.8861772957282188,0.9213179225724938
71,0.9233542299930351,0.8890060860862571,0.8866379595752235,0.9215318358083597
72,0.9238914086105131,0.8893191132799456,0.8869736254365643,0.9226127782637413
73,0.9245290353449973,0.8900364024731591,0.8877245475560336,0.9226932668329177
74,0.9251654285169111,0.8909333307791661,0.8887010205384511,0.923556775446914
75,0.9256792354992875,0.8914168552565445,0.8892222192496557,0.9241056681933024
76,0.9261294173062866,0.8916287788559729,0.8894723852036748,0.9243504129854488
77,0.9266315371724154,0.8920353891828265,0.8899335571869007,0.9255389333666174
78,0.927235293203778,0.8926769157051211,0.8906459551191905,0.9258185721953838
79,0.927878526194432,0.8932632110603589,0.8913341339117946,0.9264237391273222
80,0.9283799178710328,0.8934975520287182,0.8916486255070776,0.9270300074413435
81,0.9292174299336045,0.8944900497558224,0.8927790727537707,0.9276249273028229
82,0.9295428075360344,0.8942607939323262,0.8924793959530193,0.9288654362985385
83,0.9304405857835034,0.8953006835729865,0.8936844361422294,0.928727794724565
84,0.9310508601161316,0.8957466060729706,0.8942306966376001,0.9300148296378351
85,0.9315285490098171,0.8961478157032373,0.8946439349628018,0.9312014553366803
