rel_name,test_len,auroc,auprc,ap,f1
0,43064,0.9547231247489344,0.9157139767218936,0.9155932560096016,0.9689900953438859
10,2002,0.9948283538581948,0.991038663733695,0.9910446006981316,0.9969481180061037
100,461,0.9891242937853107,0.9874581438822585,0.9874741767264879,0.9758241758241759
102,1108,0.9620818110881483,0.9410974264786015,0.9413269680356408,0.9649952696310312
103,309,0.9825503355704699,0.9697217730016077,0.9700119946610938,0.9641693811074918
106,947,0.9922719040779366,0.9898873114956033,0.9898969472911491,0.9865841073271413
107,556,0.9995800249360194,0.9996606361969921,0.9996611962844167,0.998389694041868
108,1164,0.9945021037868162,0.9874656275110436,0.9875838338439292,0.9991518235793045
109,262,0.962904636920385,0.9339278866613785,0.9346677206300862,0.988235294117647
12,119,0.8030303030303031,0.8004439450228632,0.8092318565868885,0.7812499999999999
124,598,0.9692543033889188,0.9476896618396641,0.9478666923980463,0.9858156028368793
13,117,0.883489461358314,0.8865924473019391,0.8876630907879856,0.8679245283018867
135,350,0.9838688610240334,0.9638943073224063,0.9646632925917361,0.983050847457627
139,404,0.9941904645177105,0.9927258688810892,0.9927499954709458,0.9875311720698253
151,185,0.9371054477437456,0.9042072252660702,0.9060377543754813,0.9213483146067415
152,433,0.9703074951953875,0.966225296941653,0.9663600493311428,0.9580246913580247
154,1826,0.9868903141285883,0.9840963354775046,0.9841085756285785,0.9741282339707538
16,201,0.9279207920792079,0.923965654205046,0.9244594877092298,0.9289099526066351
163,1829,0.9763019057531493,0.9649823665213714,0.9647502761574092,0.9641478212906784
164,414,0.9825290207826249,0.976416132744947,0.9765098077508998,0.9896907216494846
191,163,0.9873417721518987,0.984953699781688,0.9850640378326279,0.9936305732484078
196,263,0.9386786995256278,0.8586568000799155,0.8632555002605979,0.9575289575289576
2,772,0.981486715658564,0.977141603428965,0.977208331205383,0.9850746268656716
20,8380,0.9466245197653028,0.9166297900587926,0.9163538802350786,0.9511636319787773
21,2141,0.9109981865750704,0.8765905338305604,0.8762379792930148,0.9018669219722355
22,7522,0.9430813286283355,0.9124781784170567,0.9113617251115227,0.9364005412719892
23,236,0.9529003828649859,0.9571092448630927,0.957341703686237,0.9469387755102041
25,9277,0.9665575323152664,0.9361773703103589,0.9360680818268831,0.9845689003992663
26,34587,0.9586501037034381,0.9217971979419451,0.9215334449140608,0.9783779164174002
27,5215,0.9780114133592195,0.9567802388119276,0.9568834319505929,0.9837962962962963
28,713,0.9507869058860561,0.9355299586332929,0.9357500016914183,0.9408369408369408
29,27377,0.9254188696715882,0.882897726041382,0.8824940457971461,0.9433199815674737
35,270,0.9580748781568453,0.9516655907405388,0.9520109825805663,0.9726027397260274
39,205,0.944,0.9377816554742188,0.9385891187175933,0.9263157894736842
4,499,0.9951811313444401,0.9911686575381299,0.9911907024524116,1.0
42,1680,0.9547640681012476,0.9318265787513703,0.9320611484209472,0.9408897014015843
45,303,0.9797202797202796,0.9485440826231932,0.9475897700644954,0.9822064056939501
46,907,0.9914343871131109,0.9849406787656704,0.984989768713708,0.9968051118210862
47,1498,0.9863582887700535,0.9762962703428258,0.975792105092984,0.9853137516688919
49,1155,0.9917663817663818,0.9907631571271431,0.9907725508199886,0.9817232375979111
51,5504,0.9884746835802457,0.9777268304257563,0.9777490111769755,0.9939148073022313
52,6716,0.9758138974322909,0.9524469850137508,0.9521162103334265,0.9863996413092213
55,660,0.9824477480129525,0.9774608665212976,0.9775193530368473,0.9872611464968154
59,3527,0.9749911565894664,0.953540891528113,0.9533446365088284,0.9883157594756341
6,5321,0.9777657580934374,0.9575976343864508,0.9550389929068449,0.9879518072289156
60,6,0.5,0.5791666666666666,0.6791666666666667,1.0
61,801,0.9695348547200399,0.9505230780700245,0.9506904886024482,0.9773299748110832
62,1168,0.9575548596694933,0.9431898564526923,0.9433698292889484,0.9446366782006921
63,11471,0.9674967551702051,0.9308458755719198,0.9309338142677404,0.9875722037458429
64,464,0.9734846372609156,0.9396427282950659,0.938314681182506,0.9846153846153846
66,651,0.9744692515643609,0.9495602039579251,0.949577790756328,0.9788519637462235
67,320,0.9405878674171357,0.9012995688259628,0.9028212569272913,0.9642857142857143
7,3924,0.9787715213792803,0.9700770501627278,0.970070617219845,0.9753086419753088
75,347,0.9587159015302726,0.9417051592649408,0.9421741004654784,0.9782608695652174
76,729,0.9801915246569146,0.9691301081521699,0.9692512685782195,0.9753265602322208
78,1700,0.9455163163839305,0.9204294399853505,0.9200666883616633,0.9491124260355029
79,485,0.9547512082227214,0.9405913303800718,0.9408175994208773,0.9681528662420381
8,600,0.9724338736487467,0.9786155167044831,0.9786496298956483,0.9385474860335196
80,1538,0.9757976739454766,0.9612387020046498,0.9613981772738758,0.9862327909887358
84,2339,0.9881529980332376,0.9802792904366374,0.9803042935620391,0.9896729776247848
86,231,0.9134802819013346,0.8781851181461879,0.8810125568784173,0.8530805687203793
88,815,0.9682880994543024,0.9582308121601295,0.9584203863866552,0.9503916449086162
