epoch,auroc,auprc,ap,f1
1,0.4945401861279999,0.5924560491496286,0.502973932407504,0.3799611873787106
2,0.5230335106274906,0.6288967621486268,0.5212599460627281,0.4871047885689784
3,0.5464525973296288,0.6554955185853986,0.5368354964577533,0.554282219067733
4,0.5635381305464413,0.6693106097296762,0.5475741888433738,0.5787742088661263
5,0.5853108945817601,0.6823015627953697,0.5626087916896138,0.5971929744681336
6,0.604613597821171,0.6890989094709885,0.576799171122492,0.6076920394713903
7,0.6211550219508495,0.6930275364593352,0.5900336353623197,0.6210196644584416
8,0.6381362923031977,0.6978582255481451,0.6030494246264334,0.6389058944474605
9,0.6520959506678262,0.7045134105976192,0.6143116183153858,0.6606160801646479
10,0.6679916226631519,0.7135299817653266,0.6274349550811584,0.6705536045097571
11,0.6806567503666345,0.7207146753846102,0.6375898120901695,0.6861815941298381
12,0.6919119301552854,0.7268205214520972,0.6477105268896206,0.6956735771584566
13,0.7026342674738043,0.7324580530616858,0.6574731179900095,0.7070646300567086
14,0.7142878333365918,0.7383090679115347,0.6681844386547426,0.7154845846975606
15,0.7247915045951182,0.7440358613897697,0.6781179466483469,0.7225108469037019
16,0.7342779968622425,0.7497414285428341,0.6867031020170686,0.7367565702327549
