rel_name,test_len,auroc,auprc,ap,f1
0,43064,0.5119735780901227,0.5386982608219709,0.5059099582976322,0.5212297309963446
10,2002,0.6571584447426007,0.6839136907028004,0.6371728202369135,0.5486018641810919
100,461,0.4405273069679849,0.47539920228007426,0.44789155961528315,0.6464968152866242
102,1108,0.5439190181885853,0.5891863605134464,0.5315252548215601,0.37347767253044656
103,309,0.5480075503355704,0.5841923931820798,0.5173645380434201,0.6683417085427136
106,947,0.3869088508444032,0.4362393654718756,0.4205539554628871,0.0
107,556,0.6460660148303694,0.7174280038295768,0.6640316191078082,0.652557319223986
108,1164,0.5457282055067543,0.6010744232437264,0.5455761752720751,0.4747583243823845
109,262,0.24100320793234184,0.37070695954270955,0.34640429578266096,0.0
12,119,0.5235849056603774,0.683553276924969,0.6138442346345369,0.4680851063829786
124,598,0.6340886677425138,0.7082208411629979,0.5788868703225831,0.6451612903225805
13,117,0.46692037470726,0.4952258191129678,0.46663493187951954,0.2777777777777778
135,350,0.2501795977011494,0.37850173763545397,0.3657586496603023,0.0
139,404,0.4463046942027209,0.4578181485685683,0.4523724484795699,0.6618962432915921
151,185,0.4307926116436755,0.5253927278676034,0.48282152274163714,0.6584362139917695
152,433,0.5870061926115738,0.6322040042395726,0.5815452738240439,0.4722222222222222
154,1826,0.613938196423944,0.6334568142035409,0.5710613971978133,0.6248548199767712
16,201,0.5461386138613862,0.6596508268309998,0.5476235764264,0.4745762711864407
163,1829,0.5771650576032732,0.6117668529139453,0.5845551274180828,0.5771958537915985
164,414,0.47423235349185544,0.49925884439758456,0.45909341832339323,0.6129032258064516
191,163,0.34350512356841467,0.39779355269931216,0.3898633294058791,0.0
196,263,0.3344324887191948,0.4177961758322385,0.3967182561231884,0.0
2,772,0.3779711432340036,0.49834646689546247,0.455919882420479,0.0
20,8380,0.41942859824926765,0.49605760462423365,0.47261479721698657,0.11762162162162161
21,2141,0.3370697042843255,0.4250100434487921,0.42553056279241497,0.0
22,7522,0.5399879330267431,0.6119448670525961,0.564710310672214,0.3536536132418248
23,236,0.5912735678682366,0.7185588172040515,0.6185218637152523,0.5764192139737991
25,9277,0.37078905981228016,0.4770198760959888,0.43097003072611867,0.0
26,34587,0.4240992736101286,0.4979891317915547,0.46499795847111447,0.0
27,5215,0.45935115935314497,0.5298833659737487,0.5087456760674969,0.2291599613775346
28,713,0.4328966005665722,0.5482751258481326,0.4791641806932386,0.28629856850715746
29,27377,0.6759526300131948,0.7625254778372828,0.6313138758435567,0.7044466849772277
35,270,0.5718874612317236,0.6888167020691821,0.6061879568793698,0.559322033898305
39,205,0.4710952380952381,0.5439675402410566,0.4838399910403409,0.3333333333333333
4,499,0.4288066640836885,0.4460133168423909,0.4217525572290841,0.0
42,1680,0.549669798817541,0.573791296390515,0.53190759802618,0.4227234753550543
45,303,0.5519449300699301,0.5895934357016478,0.5104118395707908,0.6392961876832844
46,907,0.6011974327509302,0.6791005380139561,0.6440078038987946,0.405103668261563
47,1498,0.4312860962566845,0.49942790867992787,0.46550596109114817,0.1711711711711712
49,1155,0.48925476083370817,0.547058737193965,0.5040496486123633,0.6729088639200999
51,5504,0.5828271801455445,0.657381040481106,0.5552767170981406,0.5653793373848265
52,6716,0.4197015488445766,0.4906487540437407,0.45320826287425353,0.6565542687301426
55,660,0.5318341551368855,0.5652446345699252,0.5172579801792687,0.6192893401015228
59,3527,0.5571851906639311,0.6432745491366958,0.5345042900570479,0.5855881515237823
6,5321,0.5814321683862178,0.6647315502035732,0.563597421220501,0.5777509555421445
60,6,0.125,0.4625,0.5666666666666667,0.0
61,801,0.39159807956104253,0.49896903738732123,0.44884964269232863,0.0
62,1168,0.41502175621312876,0.4761243122298361,0.4572013989397666,0.08176100628930819
63,11471,0.4441114243057876,0.4977583972148974,0.4612946395269684,0.6236199397791903
64,464,0.44525920556144166,0.5104240489099696,0.46248407908178607,0.0
66,651,0.4408236762009188,0.5275271158999988,0.4887665007756127,0.0
67,320,0.4074421513445904,0.4782722698861631,0.4471785828164494,0.0
7,3924,0.5126138221055181,0.5868382986471387,0.5311229086116375,0.40589417280643
75,347,0.6109780439121757,0.6329939084659517,0.5934814629351781,0.663157894736842
76,729,0.42465314432212337,0.4621882001847112,0.426201952640491,0.0
78,1700,0.7204116744917394,0.793380928669038,0.6514023468885362,0.7849462365591398
79,485,0.5027993329249201,0.5080518244822962,0.48151732524544455,0.6196213425129088
8,600,0.3576066221176051,0.3963683914665919,0.37557268025146695,0.0
80,1538,0.5846644852841449,0.6547350281676452,0.5697817441107159,0.7195652173913044
84,2339,0.3917940675425705,0.45664819135670254,0.43247436165530306,0.0
86,231,0.5386864597390912,0.5782598277718007,0.5322176436669156,0.42857142857142866
88,815,0.3537457988507824,0.43105481158641,0.4104210834517357,0.0
