rel_name,test_len,auroc,auprc,ap,f1
0,43064,0.9546791095859682,0.9152225107546661,0.9151415624415598,0.9706466971756114
10,2002,0.9925672249109525,0.9834004169442065,0.9833960876645744,0.9989847715736041
100,461,0.9806308851224104,0.9780564840668066,0.9781102400960591,0.9798657718120806
102,1108,0.9687486736469566,0.9498153114576007,0.9497607404282365,0.9665711556829035
103,309,0.9910654362416108,0.9876627312589827,0.9877201366204076,0.9898305084745762
106,947,0.9893501708433325,0.9887548455513551,0.9887662872793567,0.9720430107526882
107,556,0.9976376402651093,0.9972340642270636,0.9972415366233979,0.998389694041868
108,1164,0.995497158042371,0.987171085782138,0.9870456716475992,0.9974468085106384
109,262,0.9806357538641004,0.9678213225793885,0.9680661852675666,0.996078431372549
12,119,0.9102344196683819,0.9125095663273523,0.9135088266976195,0.9253731343283583
124,598,0.9907096109019186,0.988842620342432,0.9888645156307637,0.9896193771626297
13,117,0.9326697892271663,0.9242165795544293,0.92521732593985,0.9285714285714286
135,350,0.9905956112852664,0.986939489179038,0.9870014611649602,0.9943502824858756
139,404,0.9943375413653635,0.9934156251729658,0.9934351859908482,0.9777777777777776
151,185,0.9662146364274025,0.9616548336001123,0.9619704674653197,0.9438202247191011
152,433,0.9835895793294896,0.9770025992341107,0.9771404684912492,0.9658536585365853
154,1826,0.9919902248711525,0.9829145986601822,0.9830007856217572,0.9922480620155039
16,201,0.8747524752475249,0.8406129947064076,0.841958805765799,0.91324200913242
163,1829,0.9788201796887149,0.9659212159500626,0.9659295228975533,0.9709589041095891
164,414,0.9812652125070214,0.9698002392637461,0.969949893821311,0.9948717948717948
191,163,0.991711874623267,0.9909004071790529,0.990960300873541,0.9811320754716981
196,263,0.9760210575031818,0.9554882181023463,0.9549087453023698,0.9802371541501977
2,772,0.9717960106597755,0.9557281989441004,0.9547004487663501,0.9774436090225564
20,8380,0.9493729372486116,0.9227096468032565,0.92214888158561,0.9539608125976681
21,2141,0.9172941221644509,0.8777070115493101,0.8765836726614679,0.9253592953175707
22,7522,0.9394557927975978,0.9072026628157824,0.9062767171384926,0.9398819108964037
23,236,0.8675142671386259,0.8464595594704979,0.8486294333807578,0.9083665338645418
25,9277,0.9635856070005124,0.9285474188779994,0.9284199754354469,0.9850005395489372
26,34587,0.9591496275284107,0.9233679437846886,0.923231865691897,0.9785957191438287
27,5215,0.9759041336657328,0.9569526789090662,0.9569864377499461,0.9842610364683301
28,713,0.9524748190116461,0.9073557288882066,0.9092317809985664,0.9586776859504132
29,27377,0.9181681624946398,0.8713137966815162,0.8709474835727007,0.9371066920781043
35,270,0.9706468763845812,0.9640550233489218,0.9643788488851142,0.965034965034965
39,205,0.968,0.9530438023978157,0.9539092829384767,0.9591836734693877
4,499,0.9908546429032675,0.9792315481274905,0.9793453026237422,1.0
42,1680,0.9532119311843442,0.9285132545364243,0.9287686001468491,0.946417820590006
45,303,0.9942307692307693,0.9891718083048311,0.9892484835452121,0.993006993006993
46,907,0.9915658661056896,0.9894107048007185,0.989427406857865,0.9968051118210862
47,1498,0.9844795008912657,0.9731534246896332,0.9732513090700526,0.9919786096256684
49,1155,0.9943364822312191,0.9909927236486233,0.9910111323687009,0.9923534409515719
51,5504,0.99112200859405,0.9855860977915605,0.9855924942551721,0.9953951003868117
52,6716,0.9810228427726189,0.9639306403950756,0.963683002470739,0.9903230608902784
55,660,0.9886204739476008,0.9769664571956902,0.9771123627058003,0.9936708860759493
59,3527,0.9772000797514843,0.9603014193482506,0.9600615567493342,0.9842271293375394
6,5321,0.9790087994073075,0.9599350591983048,0.9571633053784719,0.9887218045112782
60,6,0.875,0.94375,0.95,1.0
61,801,0.9839942636238933,0.9754139303249115,0.9754709223332293,0.9924050632911392
62,1168,0.95176102177967,0.9184096041820607,0.9187185868318595,0.9504273504273505
63,11471,0.9639373221940277,0.9189357992794621,0.9176336064262295,0.9876241938295276
64,464,0.9792561200022305,0.9708440923328181,0.9709969350378087,0.9713024282560706
66,651,0.9759627200030248,0.9660417275010429,0.9661443235461963,0.9820359281437127
67,320,0.7713219199499687,0.7000448878275422,0.6911545552275977,0.8342857142857142
7,3924,0.9804498226749532,0.9687221749474644,0.9686275507012041,0.9791983764586504
75,347,0.972255489021956,0.9508301082745558,0.9516394459327964,0.9836065573770492
76,729,0.97446840597195,0.9530186203452432,0.9532202132480458,0.9753265602322208
78,1700,0.951823897107676,0.9282148234914103,0.9283125344656596,0.9615384615384616
79,485,0.9735552379007556,0.957540419526864,0.9577155892958664,0.9915966386554621
8,600,0.9423967246399447,0.8931194708484229,0.8953361782819864,0.9326047358834245
80,1538,0.9739751458022514,0.9596569551048496,0.9603623659334458,0.983810709838107
84,2339,0.9865719111228094,0.9799697397929549,0.9799905298778023,0.9896373056994818
86,231,0.9685859949017844,0.9759647023537328,0.9760482601631816,0.9276595744680851
88,815,0.981689614879597,0.9709286534548991,0.9710103510557881,0.9828009828009829
