rel_name,test_len,auroc,auprc,ap,f1
0,43064,0.9560282687500087,0.918186222616106,0.9181086740494047,0.9723879561537393
10,2002,0.9894126255849984,0.9751595621653685,0.9752097858864504,1.0
100,461,0.9772598870056497,0.9530497567955019,0.9540321153557837,0.9799554565701558
102,1108,0.970590059779752,0.961100325971864,0.9611512974030927,0.9706161137440759
103,309,0.9749161073825503,0.9535271628099544,0.9538990538925125,0.9966329966329966
106,947,0.9933201595132527,0.9880904662572003,0.9881021132589148,0.9947970863683663
107,556,0.9918367346938776,0.9717789258162369,0.9734703754975154,0.998389694041868
108,1164,0.9962043256809627,0.9942565069504303,0.994231743310212,0.9991503823279524
109,262,0.9582385535141441,0.8927957044880025,0.9002855800611059,0.9880478087649402
12,119,0.730989136649514,0.7380945706848339,0.7363736361468848,0.7457627118644068
124,598,0.953520037654653,0.9183226517383949,0.9180576264906297,0.9652777777777778
13,117,0.9192037470725996,0.878533811702182,0.8814613487841362,0.8999999999999999
135,350,0.9869383490073146,0.981860999891473,0.9819493295834174,0.9942857142857142
139,404,0.9959308738816031,0.9955753564836822,0.9955872988233777,0.9924050632911393
151,185,0.8735094692541501,0.7572925847639187,0.7628845664739834,0.9333333333333332
152,433,0.978977151398676,0.9756843270450815,0.9758095011763124,0.9603960396039605
154,1826,0.990752137859549,0.9851422797617858,0.9851635418783203,0.9844444444444445
16,201,0.9121782178217821,0.8629196247807279,0.864705291096858,0.9216589861751151
163,1829,0.9787980475899939,0.9646229806196988,0.9644450140799693,0.9709589041095891
164,414,0.990603351432316,0.9859301127506486,0.9859647611484936,1.0
191,163,0.8899939722724532,0.793988522544516,0.8012474845752467,0.9112426035502957
196,263,0.9201087585329167,0.8397067799087681,0.840632715005663,0.9721115537848606
2,772,0.9822673557834666,0.9735545528268394,0.9734327292290507,0.9875311720698255
20,8380,0.9426377607914995,0.9109718174353943,0.9097716850511003,0.9524266027561414
21,2141,0.9253947559032304,0.8910243552437161,0.8895327908676987,0.9254004576659038
22,7522,0.9472920080269269,0.9260673002050522,0.9257814820079701,0.9367088607594937
23,236,0.9189843242071806,0.8947880692471439,0.8952017281298752,0.9176470588235294
25,9277,0.9733464874597051,0.9479473117726159,0.9480364134720202,0.9861839991431939
26,34587,0.9595068332007577,0.9237273071779313,0.9235341180033083,0.9803328290468986
27,5215,0.9791266426927292,0.9614012685300901,0.9614805860080592,0.9849826723142087
28,713,0.9644790683034309,0.9476452314201901,0.9478007596957045,0.975886524822695
29,27377,0.9289142948963017,0.8888923345921964,0.8885834117243281,0.9431878895814781
35,270,0.9870957022596367,0.9919099206425294,0.9919322256238375,0.9793103448275862
39,205,0.8402380952380952,0.7607778573817934,0.7674054069991272,0.8598130841121495
4,499,0.9906124886994705,0.9887419562260316,0.9887586079691649,0.9956709956709957
42,1680,0.9603276638992798,0.9415221749187881,0.9416631172231399,0.9517998779743746
45,303,0.9704108391608391,0.9386364196643624,0.9394929638470692,0.9824561403508772
46,907,0.9874900173357487,0.9732661009378558,0.9725030493770446,0.9903948772678762
47,1498,0.9840882352941176,0.9720380602788012,0.9720738371526401,0.9919354838709676
49,1155,0.9902144249512671,0.9881187347716913,0.9881250678712581,0.9790940766550522
51,5504,0.9882390781912743,0.9773749610960991,0.9773910441485767,0.9953951003868117
52,6716,0.9766491608832605,0.9539047704590552,0.9535909044260699,0.9897336705847345
55,660,0.9855203120400352,0.9808137583737953,0.9808631089255143,0.9872611464968154
59,3527,0.9778033611391598,0.9597888317430071,0.9593224444319506,0.9853910054425666
6,5321,0.9780653397387248,0.9585508858045403,0.9572230651252027,0.9890936442271531
60,6,1.0,1.0,1.0,1.0
61,801,0.9859022321985285,0.9758843249767513,0.9759708196183835,0.9949494949494949
62,1168,0.9557252266516543,0.9375428740381858,0.9386529094618232,0.9457627118644067
63,11471,0.9760868295052003,0.9542936754943236,0.9542975571452956,0.9896907216494846
64,464,0.9881968066320935,0.9815803307407717,0.9816589755064442,0.9846153846153846
66,651,0.9583341210276576,0.9244520471022122,0.9263457693136994,0.9729729729729729
67,320,0.9487961225766104,0.9204849380208817,0.9212626104631552,0.9876543209876543
7,3924,0.9834255894642009,0.9711310501953554,0.9709713141223527,0.9872122762148337
75,347,0.9664005322687957,0.9579620067190899,0.9582425426140216,0.983050847457627
76,729,0.9699366611370834,0.9522456846972621,0.9524159824683784,0.97054698457223
78,1700,0.9362909432165477,0.9156577281265772,0.9152350043118593,0.9403166869671132
79,485,0.9945374719215846,0.9928055133142484,0.9928257300954523,1.0
8,600,0.980711520655072,0.9763875428193587,0.9764474159644121,0.9594356261022927
80,1538,0.9861445476739454,0.9796170009561893,0.9796486509376983,0.9874999999999999
84,2339,0.9888124849202693,0.9838849664789964,0.9838952868614605,0.9914089347079039
86,231,0.933048433048433,0.8810823325778072,0.8860922746040871,0.934959349593496
88,815,0.9750581234264514,0.9577765963613794,0.9580000719782914,0.9827160493827161
